run,label_mode,merge_person_labels,min_clip_score,owl_threshold,posthoc_merge_person,stage,total_points,assigned_points,assigned_ratio,mapped_pred_points,mapped_accuracy,macro_precision,macro_recall,macro_iou,classes_scored
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,173568,52428,0.3020602876106195,52281,0.32814980585681225,0.1295169020618109,0.2599615029604751,0.09686619136402141,13
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,173568,34847,0.20076857485250738,34726,0.46437827564360995,0.18887442540582694,0.2541230145472799,0.13443133929829493,13
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,box,173568,52428,0.3020602876106195,52281,0.32814980585681225,0.1295169020618109,0.2599615029604751,0.09686619136402141,13
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sam,173568,34847,0.20076857485250738,34726,0.46437827564360995,0.18887442540582694,0.2541230145472799,0.13443133929829493,13
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,superpoint,173568,37335,0.21510301438053098,37264,0.46433555173894375,0.19585722172202363,0.23193243740379924,0.14431013599031717,13
ovsam3d_geometry_road_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,box,173568,52428,0.3020602876106195,52281,0.32814980585681225,0.1295169020618109,0.2599615029604751,0.09686619136402141,13
ovsam3d_geometry_road_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sam,173568,34847,0.20076857485250738,34726,0.46437827564360995,0.18887442540582694,0.2541230145472799,0.13443133929829493,13
ovsam3d_geometry_road_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,superpoint,173568,37335,0.21510301438053098,37264,0.46433555173894375,0.19585722172202363,0.23193243740379924,0.14431013599031717,13
ovsam3d_geometry_road_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,road_fused,173568,95147,0.5481828447640118,95076,0.6854516386890488,0.2595477517690195,0.29433523247331744,0.19771226685437696,13
