run,label_mode,merge_person_labels,min_clip_score,owl_threshold,posthoc_merge_person,sample,stage,points,assigned_points,assigned_ratio,mapped_accuracy,macro_precision,macro_recall,macro_iou,classes_scored
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_000,box,34688,10786,0.31094326568265684,0.07904035707643667,0.11122661075961186,0.27404056718054287,0.09248462355322908,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_000,sam,34688,5934,0.17106780442804428,0.13755274261603376,0.1943357586074704,0.2680786282323311,0.1368496628685117,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_001,box,34720,12877,0.37088133640552995,0.116171875,0.11808715281346409,0.26966697582982746,0.09478592729769474,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_001,sam,34720,8612,0.24804147465437787,0.173072416217483,0.17570299788049612,0.2784345041882186,0.1335468399205406,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_002,box,34720,5361,0.15440668202764976,0.6432189082723692,0.2081740608288931,0.26572232248552474,0.16400250290791243,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_002,sam,34720,3655,0.10527073732718895,0.852219465122691,0.2868148660453897,0.24958237508574402,0.20290145184302033,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_003,box,34688,11349,0.3271736623616236,0.6048664374504099,0.1691240918063345,0.27597361371886814,0.15153952313185368,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_003,sam,34688,9200,0.26522140221402213,0.7064709081022295,0.2520601781904673,0.28693752784198284,0.20340504080203742,13
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_004,box,34752,12055,0.3468865101289134,0.3757570729279018,0.17204376520023812,0.3101659032326363,0.1349373105903903,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_004,sam,34752,7446,0.2142610497237569,0.5704499664204163,0.2834792673292349,0.2781061729765855,0.20142288957369595,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_000,box,34688,10786,0.31094326568265684,0.07904035707643667,0.11122661075961186,0.27404056718054287,0.09248462355322908,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_000,sam,34688,5934,0.17106780442804428,0.13755274261603376,0.1943357586074704,0.2680786282323311,0.1368496628685117,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_000,superpoint,34688,6418,0.18502075645756458,0.10127765659083826,0.2177247490972981,0.19465229942381523,0.11330790140565934,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_001,box,34720,12877,0.37088133640552995,0.116171875,0.11808715281346409,0.26966697582982746,0.09478592729769474,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_001,sam,34720,8612,0.24804147465437787,0.173072416217483,0.17570299788049612,0.2784345041882186,0.1335468399205406,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_001,superpoint,34720,8756,0.2521889400921659,0.15230875258442453,0.22184051020752302,0.20246853219928607,0.12281662250209842,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_002,box,34720,5361,0.15440668202764976,0.6432189082723692,0.2081740608288931,0.26572232248552474,0.16400250290791243,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_002,sam,34720,3655,0.10527073732718895,0.852219465122691,0.2868148660453897,0.24958237508574402,0.20290145184302033,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_002,superpoint,34720,3559,0.1025057603686636,0.8770491803278688,0.35961963972674127,0.2201308161481933,0.19314555568547112,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_003,box,34688,11349,0.3271736623616236,0.6048664374504099,0.1691240918063345,0.27597361371886814,0.15153952313185368,12
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_003,sam,34688,9200,0.26522140221402213,0.7064709081022295,0.2520601781904673,0.28693752784198284,0.20340504080203742,13
ovsam3d_official_like_superpoint_owl_nuscenes_mini,owl,True,0.12,0.06,True,sample_003,superpoint,34688,9683,0.2791455258302583,0.7541051327068058,0.3485683741624994,0.26870215037760214,0.2119003412379521,12
